v8-version,6,1,534,47,0
code-creation,Builtin,5,9361,0x6c2ebd4bd20,1656,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,9372,0x6c2ebd4c3a0,200,"ToBoolean"
code-creation,Builtin,5,9381,0x6c2ebd4c480,4284,"ResolveNativePromise"
code-creation,Builtin,5,9390,0x6c2ebd4d540,448,"StringEqual"
code-creation,Builtin,5,9398,0x6c2ebd4d700,5296,"PerformNativePromiseThen"
code-creation,Builtin,5,9407,0x6c2ebd4ebc0,828,"RejectNativePromise"
code-creation,Builtin,5,9416,0x6c2ebd4ef00,2192,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,9425,0x6c2ebd4f7a0,1680,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,9433,0x6c2ebd4fe40,1024,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,9442,0x6c2ebd50240,491,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,9451,0x6c2ebd50440,980,"AsyncGeneratorResolve"
code-creation,Builtin,5,9459,0x6c2ebd50820,207,"AsyncGeneratorReject"
code-creation,Builtin,5,9468,0x6c2ebd50900,1024,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,9477,0x6c2ebd50d00,1024,"AsyncGeneratorPrototypeThrow"
code-creation,Builtin,5,9486,0x6c2ebd51100,134,"Illegal"
code-creation,Builtin,5,9494,0x6c2ebd511a0,134,"ObjectAssign"
code-creation,Builtin,5,9503,0x6c2ebd51240,134,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,9512,0x6c2ebd512e0,134,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,9520,0x6c2ebd51380,134,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,9529,0x6c2ebd51420,134,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,9537,0x6c2ebd514c0,134,"ObjectIs"
code-creation,Builtin,5,9546,0x6c2ebd51560,134,"ObjectPreventExtensions"
code-creation,Builtin,5,9554,0x6c2ebd51600,134,"ObjectSeal"
code-creation,Builtin,5,9563,0x6c2ebd516a0,972,"ObjectCreate"
code-creation,Builtin,5,9572,0x6c2ebd51a80,134,"ObjectDefineProperties"
code-creation,Builtin,5,9580,0x6c2ebd51b20,134,"ObjectDefineProperty"
code-creation,Builtin,5,9589,0x6c2ebd51bc0,134,"ObjectFreeze"
code-creation,Builtin,5,9597,0x6c2ebd51c60,134,"ObjectGetPrototypeOf"
code-creation,Builtin,5,9606,0x6c2ebd51d00,134,"ObjectSetPrototypeOf"
code-creation,Builtin,5,9614,0x6c2ebd51da0,134,"ObjectIsExtensible"
code-creation,Builtin,5,9623,0x6c2ebd51e40,134,"ObjectIsFrozen"
code-creation,Builtin,5,9651,0x6c2ebd51ee0,134,"ObjectIsSealed"
code-creation,Builtin,5,9660,0x6c2ebd51f80,640,"ObjectKeys"
code-creation,Builtin,5,9669,0x6c2ebd52200,134,"ObjectEntries"
code-creation,Builtin,5,9677,0x6c2ebd522a0,134,"ObjectValues"
code-creation,Builtin,5,9686,0x6c2ebd52340,134,"ObjectDefineGetter"
code-creation,Builtin,5,9694,0x6c2ebd523e0,134,"ObjectDefineSetter"
code-creation,Builtin,5,9703,0x6c2ebd52480,2155,"ObjectHasOwnProperty"
code-creation,Builtin,5,9712,0x6c2ebd52d00,134,"ObjectLookupGetter"
code-creation,Builtin,5,9720,0x6c2ebd52da0,134,"ObjectLookupSetter"
code-creation,Builtin,5,9729,0x6c2ebd52e40,319,"ObjectPrototypeIsPrototypeOf"
code-creation,Builtin,5,9737,0x6c2ebd52f80,134,"ObjectPrototypePropertyIsEnumerable"
code-creation,Builtin,5,9746,0x6c2ebd53020,880,"ObjectProtoToString"
code-creation,Builtin,5,9755,0x6c2ebd533a0,139,"ObjectPrototypeValueOf"
code-creation,Builtin,5,9763,0x6c2ebd53440,134,"ObjectPrototypeGetProto"
code-creation,Builtin,5,9772,0x6c2ebd534e0,134,"ObjectPrototypeSetProto"
code-creation,Builtin,5,9781,0x6c2ebd53580,134,"FunctionConstructor"
code-creation,Builtin,5,9789,0x6c2ebd53620,160,"FunctionPrototypeApply"
code-creation,Builtin,5,9798,0x6c2ebd536c0,1392,"CallWithArrayLike"
code-creation,Builtin,5,9806,0x6c2ebd53c40,177,"CallVarargs"
code-creation,Builtin,5,9815,0x6c2ebd53d00,964,"FastFunctionPrototypeBind"
code-creation,Builtin,5,9824,0x6c2ebd540e0,134,"FunctionPrototypeBind"
code-creation,Builtin,5,9832,0x6c2ebd54180,143,"FunctionPrototypeCall"
code-creation,Builtin,5,9841,0x6c2ebd54220,134,"FunctionPrototypeToString"
code-creation,Builtin,5,9981,0x6c2ebd542c0,355,"FunctionPrototypeHasInstance"
code-creation,Builtin,5,10010,0x6c2ebd54440,143,"AsyncIteratorValueUnwrap"
code-creation,Builtin,5,10027,0x6c2ebd544e0,1160,"AsyncGeneratorAwaitCaught"
code-creation,Builtin,5,10042,0x6c2ebd54980,1136,"AsyncGeneratorAwaitUncaught"
code-creation,Builtin,5,10057,0x6c2ebd54e00,251,"AsyncGeneratorAwaitResolveClosure"
code-creation,Builtin,5,10072,0x6c2ebd54f00,259,"AsyncGeneratorAwaitRejectClosure"
code-creation,Builtin,5,10086,0x6c2ebd55020,116,"ArrayCode"
code-creation,Builtin,5,10099,0x6c2ebd550a0,203,"ArrayIsArray"
code-creation,Builtin,5,10111,0x6c2ebd55180,134,"ArrayConcat"
code-creation,Builtin,5,10124,0x6c2ebd55220,763,"FastArrayPop"
code-creation,Builtin,5,10147,0x6c2ebd55520,134,"ArrayPop"
code-creation,Builtin,5,10161,0x6c2ebd555c0,2660,"FastArrayPush"
