v8-version,6,1,534,47,0
code-creation,Builtin,5,17868,0x9d76a9534e0,134,"ObjectPrototypeSetProto"
code-creation,Builtin,5,17876,0x9d76a953580,134,"FunctionConstructor"
code-creation,Builtin,5,17885,0x9d76a953620,160,"FunctionPrototypeApply"
code-creation,Builtin,5,17894,0x9d76a9536c0,1392,"CallWithArrayLike"
code-creation,Builtin,5,17903,0x9d76a953c40,177,"CallVarargs"
code-creation,Builtin,5,17911,0x9d76a953d00,964,"FastFunctionPrototypeBind"
code-creation,Builtin,5,17920,0x9d76a9540e0,134,"FunctionPrototypeBind"
code-creation,Builtin,5,17929,0x9d76a954180,143,"FunctionPrototypeCall"
code-creation,Builtin,5,17938,0x9d76a954220,134,"FunctionPrototypeToString"
code-creation,Builtin,5,17946,0x9d76a9542c0,355,"FunctionPrototypeHasInstance"
code-creation,Builtin,5,17955,0x9d76a954440,143,"AsyncIteratorValueUnwrap"
code-creation,Builtin,5,17964,0x9d76a9544e0,1160,"AsyncGeneratorAwaitCaught"
code-creation,Builtin,5,17973,0x9d76a954980,1136,"AsyncGeneratorAwaitUncaught"
code-creation,Builtin,5,17981,0x9d76a954e00,251,"AsyncGeneratorAwaitResolveClosure"
code-creation,Builtin,5,17990,0x9d76a954f00,259,"AsyncGeneratorAwaitRejectClosure"
code-creation,Builtin,5,17999,0x9d76a955020,116,"ArrayCode"
code-creation,Builtin,5,18008,0x9d76a9550a0,203,"ArrayIsArray"
code-creation,Builtin,5,18016,0x9d76a955180,134,"ArrayConcat"
code-creation,Builtin,5,18025,0x9d76a955220,763,"FastArrayPop"
code-creation,Builtin,5,18034,0x9d76a955520,134,"ArrayPop"
code-creation,Builtin,5,18042,0x9d76a9555c0,2660,"FastArrayPush"
code-creation,Builtin,5,18051,0x9d76a956040,134,"ArrayPush"
code-creation,Builtin,5,18060,0x9d76a9560e0,1176,"FastArrayShift"
code-creation,Builtin,5,18068,0x9d76a956580,134,"ArrayShift"
code-creation,Builtin,5,18077,0x9d76a956620,134,"ArrayUnshift"
code-creation,Builtin,5,18086,0x9d76a9566c0,134,"ArraySlice"
code-creation,Builtin,5,18094,0x9d76a956760,134,"ArraySplice"
code-creation,Builtin,5,18103,0x9d76a956800,1556,"ArrayIncludes"
code-creation,Builtin,5,18112,0x9d76a956e20,1292,"ArrayIndexOf"
code-creation,Builtin,5,18120,0x9d76a957340,502,"ArrayPrototypeKeys"
